编号^登记号^原软件名称^版本号^变更事项^变更前^变更后^登记日期
2008581^2006SRBJ0688^Mars Storage Platform海量数据存储中间软件^V1.5^软件名称^Mars Storage Platform海量数据存储中间软件 [简称: MSP] V1.5^Mars Storage Platform海量数据存储中间件软件 [简称: MSP] V1.5^2008-07-17
20102492^2010SR016512^FS非接触IC卡智能阶梯水价水表嵌入式控制软件^1203^著作权人名称^河南新天科技有限公司^河南新天科技股份有限公司^2010-07-29
20103341^2003SR7194^招标中心资料管理系统^V1.0^著作权人名称^深圳市海云天科技有限公司^深圳市海云天科技股份有限公司^2010-10-09
20102566^2008SRBJ4183^宽带商务平台二期AP接口系统^V1.0^著作权人名称^中国网通集团系统集成有限公司 中国网络通信集团公司^联通系统集成有限公司 中国网络通信集团公司^2010-08-02
20090921^2004SRBJ0811^北大方正专业选择评估系统^V3.02^著作权人名称^北京方正国际软件系统有限公司^方正国际软件(北京)有限公司^2009-06-22
20110706^2008SR09846^神彩环境预警与应急指挥软件^V1.0^著作权人名称^江苏神彩科技发展有限公司^江苏梦兰神彩科技发展有限公司^2011-03-01
20114147^2011SR019116^紫健磁盘镜像管理软件^V1.0^著作权人名称^上海银基信息科技有限公司^上海银基信息科技股份有限公司^2011-08-11
20110937^2009SR036631^星网视易KTV多媒体移动播放器^V1.0^著作权人名称^福州星网视易信息系统有限公司^福建星网视易信息系统有限公司^2011-03-07
2005051^2003SR6851^山虎公文流转管理系统^V1.0.0^软件名称^山虎公文流转管理系统 [简称: 公文流转系统 ] V1.0.0^公文流转管理系统 [简称: 公文流转系统 ] V1.0.0^2005-05-10
20103240^2003SR7281^企业应用管理软件APM^V1.0^著作权人名称^北京神州正方商业智能软件有限公司^北京道隆广德技术有限公司^2010-09-16
20111844^2010SR056194^SPX6800安全代理软件^V1.0^著作权人名称^华耀环宇科技(北京)有限公司^华耀(中国)科技有限公司^2011-04-25
20090896^2009SR016657^9158个人家园平台软件^V5.0^软件名称^9158个人家园平台软件 [简称: 9158个人家园] V5.0^天格9158个人家园平台软件 [简称: 9158个人家园] V5.0^2009-06-15
2007042^2004SR04634^同人交直流测试系统软件^V1.0^著作权人名称^湖南省娄底市同人电子有限公司^湖南省同人电子有限公司^2007-01-29
20091482^2005SR10118^得安加密服务开发软件^V1.0^著作权人名称^济南得安计算机技术有限公司^山东得安信息技术有限公司^2009-08-04
2007843^2007SR04208^网络游戏软件《开心Q传》^V1.0^软件名称^网络游戏软件《开心Q传》 V1.0^网络游戏软件《开心》 V1.0^2007-10-24
20103382^2009SR020210^掌中校园平台^V1.0^著作权人名称^呼和浩特市华腾科技发展有限公司^内蒙古华腾科技发展有限公司^2010-10-09
20113985^2010SR028597^物流企业办公自动化管理系统^V1.0^软件名称^物流企业办公自动化管理系统 V1.0^临商物流企业办公自动化管理系统 V1.0^2011-08-05
2007942^2007SR13982^基于SQL server的网络化故障诊断与预测维修系统(服务器端)软件^V1.0^软件名称^基于SQL server的网络化故障诊断与预测维修系统(服务器端)软件 V1.0^天大精益基于SQL server的网络化故障诊断与预测维修系统(服务器端)软件 V1.0^2007-11-30
20102543^2009SR029974^幼儿英语动漫教学软件8(《Love English》教材8)^1.0^著作权人名称^淄博海尔兄弟教育产品有限公司^山东长征教育科技有限公司^2010-08-02
20101406^2008SRBJ0102^网通基于portal的统一内容维护系统^V1.0^软件名称^网通基于portal的统一内容维护系统 [简称: CMS-PORTAL] V1.0^基于portal的统一内容维护系统 [简称: CMS-PORTAL] V1.0^2010-05-12
20090005^2008SR31944^神州嵌入式C语言软件集成开发系统^V1.0^软件名称^神州嵌入式C语言软件集成开发系统 [简称: SZIDE] V1.0^神舟嵌入式C语言软件集成开发系统 [简称: SZIDE] V1.0^2009-01-14
20111980^2011SR014900^逐日者网络科技群殴中原游戏平台^V1.0^软件名称^逐日者网络科技群殴中原游戏平台 [简称: 群殴中原] V1.0^逐日者网络科技逐鹿Online游戏平台 [简称: 逐鹿Online] V1.0^2011-04-29
2007272^2006SR07761^ATCAD通用CAD设计软件(艾特CAD)^V2007^著作权人名称^北京艾克斯特工业自动化技术有限公司^北京艾克斯特科技有限公司^2007-05-29
2006067^2004SR07584^安氏领信网络扫描器软件^V1.5^软件名称^安氏领信网络扫描器软件 V1.5^安氏领信网络扫描器软件 [简称: 领信网络扫描器] V1.5^2006-04-12
20091422^2000SR2451^iPanel嵌入式浏览器^V1.0^著作权人名称^深圳市茁壮网络技术有限公司^深圳市茁壮网络股份有限公司^2009-08-04
2006105^2006SR06190^Syberview DataStudio企业数据处理系统^V2.0^软件名称^Syberview DataStudio企业数据处理系统 [简称: Syberview DataStudio] V2.0^Placid DataStudio企业数据处理系统 [简称: Placid DataStudio] V2.0^2006-05-30
20110460^2010SR048755^华声内容发布系统^V1.0^著作权人名称^湖南华声在线网络传播有限公司^湖南华声在线股份有限公司^2011-01-30
20091177^2008SRBJ6151^中交千方公共卫生质量监测与预警系统^V1.0^著作权人名称^北京中交千方科技有限公司^北京千方科技集团有限公司^2009-07-14
2007813^2006SR12052^拓佳SKYVIEW系列图文影像分析系统软件^V1.0^著作权人名称^南京拓佳科技有限公司^南京长江瑞亨软件有限公司^2007-10-12
20081311^2008SR12324^XT电子信息防护盾软件(SP1)^V5.0^著作权人名称^北京亿特克科技有限公司^北京艾克斯特信息技术有限公司^2008-12-11
20111412^2009SR049267^同和通用后台服务平台软件^V1.0^著作权人名称^常州市同和软件技术有限公司^江苏同和软件技术有限公司^2011-04-01
软著变补字第201104587号^2010SR059501^天地和同数据安全备份及应急系统[简称：TDHT数据安全备份及应急系统]V1.0^^软件名称^天地和同数据安全备份及应急系统[简称：TDHT数据安全备份及应急系统]V1.0^TDHT数据安全备份系统V1.0^2011-09-08
20103262^2010SR018547^金名交通违法手动抓拍系统^V1.0^著作权人名称^内蒙古金名计算机系统集成有限责任公司^内蒙古金名计算机系统集成股份有限公司^2010-09-17
000020^960219^奥沃伽码刀治疗计划系统^V1.0^软件名称^人民币180000元^美元180000元^1997-05-30
